case_id,category,difficulty,failure_class,failure_class_cn,repair_attempted,repair_rescued,rolled_back_to_best,returned_best,initial_pass,initial_fail,initial_total,best_pass,best_fail,best_total,best_pass_ratio,timed_out,remediation_bucket,rescue_potential,failure_reason,next_action,primary_log,all_logs,error_msg
cvdp_copilot_64b66b_decoder_0011,cid002,medium,functional,功能语义失败,True,False,True,True,5,5,10,8,2,10,0.80,False,near_miss_repair,高可补救,assert 18374403900871474942 == 506381209866536711,按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_64b66b_decoder/reports/11_repair_1.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_64b66b_decoder/reports/11_repair_1.txt,
cvdp_copilot_64b66b_encoder_0009,cid004,medium,functional,功能语义失败,True,False,True,False,7,6,13,10,3,13,0.77,False,semantic_repair_or_passk,中等可补救,assert 40568425447074609920 == 40630856516737433600,按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_64b66b_encoder/reports/9_repair_2.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_64b66b_encoder/reports/9_repair_2.txt,
cvdp_copilot_64b66b_encoder_0022,cid007,medium,functional_and_synth_optimization,功能+综合优化失败,True,False,True,False,10,4,14,11,3,14,0.79,False,split_functional_synth,中等可补救,assert 39055348948860899102 == 39072237447463538462,拆开处理：先确认功能剩余失败，再单独给综合优化目标和 Yosys diff 做 repair；不要把 synth 优化失败混入功能能力判断。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_64b66b_encoder/reports/22_repair_2_sanity.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_64b66b_encoder/reports/22_repair_2_sanity.txt;/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_64b66b_encoder/reports/22_repair_2_synth.txt,
cvdp_copilot_8x3_priority_encoder_0013,cid004,easy,compile_elab,编译/展开失败,True,False,True,True,0,6,6,0,6,6,0.00,False,compile_repair,高可补救,"subprocess.CalledProcessError: Command '['iverilog', '-o', '/code/rundir/sim_build/sim.vvp', '-s', 'cascaded_encoder', '-g2012', '-Pcascaded_encoder.N=4', '-Pcascaded_encoder.M=2', '-f', '/code/rundir/sim_build/cmds.f', '/code/rtl/cascaded_encoder.v']' returned non-zero exit stat",优先自动补救：做 compile/elab-only repair，向模型提供 iverilog 命令、顶层名、参数化实例和首个报错；这类通常比语义失败更可救。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_8x3_priority_encoder/reports/13.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_8x3_priority_encoder/reports/13.txt,
cvdp_copilot_Carry_Lookahead_Adder_0005,cid016,easy,functional,功能语义失败,True,False,True,True,0,1,1,0,1,1,0.00,False,agentic_or_passk,较难,assert 2605134277 == 1218168113,按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_Carry_Lookahead_Adder/reports/5.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_Carry_Lookahead_Adder/reports/5.txt,
cvdp_copilot_MSHR_0001,cid002,medium,compile_elab,编译/展开失败,True,False,True,True,0,10,10,0,10,10,0.00,False,compile_repair,高可补救,"subprocess.CalledProcessError: Command '['iverilog', '-o', '/code/rundir/sim_build/sim.vvp', '-s', 'cache_mshr', '-g2012', '-Pcache_mshr.MSHR_SIZE=4', '-f', '/code/rundir/sim_build/cmds.f', '/code/rtl/cache_mshr.sv']' returned non-zero exit status 1.",优先自动补救：做 compile/elab-only repair，向模型提供 iverilog 命令、顶层名、参数化实例和首个报错；这类通常比语义失败更可救。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_MSHR/reports/1.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_MSHR/reports/1.txt,
cvdp_copilot_MSHR_0008,cid002,medium,compile_elab,编译/展开失败,True,False,True,True,0,10,10,0,10,10,0.00,False,compile_repair,高可补救,"subprocess.CalledProcessError: Command '['iverilog', '-o', '/code/rundir/sim_build/sim.vvp', '-s', 'cache_mshr', '-g2012', '-Pcache_mshr.MSHR_SIZE=24', '-f', '/code/rundir/sim_build/cmds.f', '/code/rtl/cache_mshr.sv']' returned non-zero exit status 2.",优先自动补救：做 compile/elab-only repair，向模型提供 iverilog 命令、顶层名、参数化实例和首个报错；这类通常比语义失败更可救。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_MSHR/reports/8.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_MSHR/reports/8.txt,
cvdp_copilot_aes_key_expansion_0001,cid007,medium,functional_and_synth_optimization,功能+综合优化失败,True,False,True,True,1,1,2,1,1,2,0.50,False,split_functional_synth,中等可补救,"assert error == 0, ""Error to remove previous synth log.""",拆开处理：先确认功能剩余失败，再单独给综合优化目标和 Yosys diff 做 repair；不要把 synth 优化失败混入功能能力判断。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_aes_key_expansion/reports/1_synth.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_aes_key_expansion/reports/1_synth.txt,
cvdp_copilot_ahb_clk_counter_0001,cid002,easy,compile_elab,编译/展开失败,True,False,True,True,0,1,1,0,1,1,0.00,False,compile_repair,高可补救,"subprocess.CalledProcessError: Command '['iverilog', '-o', '/code/rundir/sim_build/sim.vvp', '-s', 'ahb_clock_counter', '-g2012', '-Pahb_clock_counter.ADDR_WIDTH=32', '-Pahb_clock_counter.DATA_WIDTH=32', '-f', '/code/rundir/sim_build/cmds.f', '/code/rtl/ahb_clock_counter.sv']' re",优先自动补救：做 compile/elab-only repair，向模型提供 iverilog 命令、顶层名、参数化实例和首个报错；这类通常比语义失败更可救。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_ahb_clk_counter/reports/1.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_ahb_clk_counter/reports/1.txt,
cvdp_copilot_apb_gpio_0005,cid004,medium,functional,功能语义失败,True,False,False,False,0,3,3,12,6,18,0.67,False,semantic_repair_or_passk,中等可补救,assert False,按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_apb_gpio/reports/5_repair_2.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_apb_gpio/reports/5_repair_2.txt,
cvdp_copilot_apb_history_shift_register_0001,cid003,medium,functional,功能语义失败,True,False,True,True,0,1,1,0,1,1,0.00,False,agentic_or_passk,较难,assert 0 == 11,按近似程度分层：near-miss 用 focused harness + targeted invariant repair；zero-pass/大范围失败优先 agentic debug 或 pass@k；最后再判 finetune。,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_apb_history_shift_register/reports/1.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/full_codegen_t4_funnel_fixed_env/cvdp_copilot_apb_history_shift_register/reports/1.txt,
