case_id,baseline_class,current_class,bucket,attempt,result,pass_delta,root_cause,rescue_action,next_action,artifact_path,notes,recommendation,thinking_analysis
cvdp_copilot_axis_border_gen_0014,model_output_rejected,docker_timeout,cheap_reprompt,stage1_module_name_retry,reclassified,0,initial output used axis_image_border_gen_with_resizer/axis_image_resizer instead of required axis_border_gen_with_resize; retry fixed top-module name and harness started; simulation then stuck with tready=0/m_axis_tvalid wait loop,enabled VLLM_RETRY_MODULE_NAME_MISMATCH=true and reran non-thinking without repair loop,move to timeout/agentic debug bucket; inspect AXIS ready/valid generation and resize/border pipeline start condition,research_outputs/two_stage_thinking_codegen/runs/stage1_module_retry_axis_border_gen_0014_norepair,raw_result returncode=124 timed_out=true; no thinking used,finetune: 模型持续忽略prompt指令生成错误模块名,unfixable
cvdp_copilot_bus_arbiter_0004,model_output_rejected,compile_elab,cheap_reprompt,stage1_module_name_retry,reclassified,0,"initial output declared cvdp_copilot_bus_arbiter instead of required bus_arbiter; retry fixed checker rejection enough to enter harness, but iverilog build failed",enabled VLLM_RETRY_MODULE_NAME_MISMATCH=true and reran non-thinking without repair loop,move to compile/elab repair bucket; inspect generated top/module/file naming and first iverilog error,research_outputs/two_stage_thinking_codegen/runs/stage1_module_retry_bus_arbiter_0004_norepair,raw_result returncode=1; no thinking used,agentic_or_passk,
cvdp_copilot_binary_multiplier_0012,compile_elab,passed,compile_repair,stage2_compile_focused_pilot,rescued,+1,baseline iverilog compile/elab failed under parameterized WIDTH cases,enabled CVDP_REPAIR_COMPILE_FOCUSED=true; repair attempt 1 produced compilable RTL and all multiplier checks passed,remove from residual set,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_pilot_5_compile_focused,repair_rescued=true; report 4 passed in 1.11s; no thinking used,already_rescued,
cvdp_copilot_cascaded_adder_0025,compile_elab,passed,compile_repair,stage2_compile_focused_pilot,rescued,+1,baseline had partial pass but failed one compile/elab configuration,enabled CVDP_REPAIR_COMPILE_FOCUSED=true; repair attempt 2 produced compilable RTL across tested configurations,remove from residual set,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_pilot_5_compile_focused,repair_rescued=true; report 5 passed in 2.19s; no thinking used,already_rescued,
cvdp_copilot_MSHR_0001,compile_elab,functional,compile_repair,stage2_compile_focused_pilot,reclassified,0,baseline compile/elab failed; repair attempts reached cocotb assertions but all MSHR fullness timing checks still failed,compile-focused repair attempts fixed enough structure to simulate but did not satisfy semantics,move to semantic/timing repair or agentic debug; expected full after MSHR_SIZE cycles but observed about 2x latency,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_pilot_5_compile_focused,"attempt 2 assertions: full asserted after 40 expected 20, 48 expected 24, etc.; rollback kept baseline due no pass improvement",compile_repair_or_agentic,
cvdp_copilot_axi_register_0001,compile_elab,compile_elab,compile_repair,stage2_compile_focused_pilot,failed,0,baseline compile/elab failed after prior repair; compile-focused attempt still has both write/read functional failures and iverilog failures for parameterized configurations,compile-focused repair attempts did not produce robust parameterized AXI register RTL,keep in compile/elab queue; inspect per-parameter generated RTL and first iverilog log; may need interface/parameter-specific hint,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_pilot_5_compile_focused,attempt 2 shows Write operation failed at addr=0x100 plus CalledProcessError for multiple ADDR_WIDTH/DATA_WIDTH builds,compile_repair_or_agentic,
cvdp_copilot_fifo_to_axis_0001,compile_elab,compile_elab,compile_repair,stage2_compile_focused_pilot,failed,0,baseline compile/elab failed; compile-focused attempt still fails iverilog/vvp with non-zero exit status 139,compile-focused repair attempts did not stabilize generated ping_pong_fifo_2_axi_stream RTL,keep in compile/elab queue; inspect RTL for unsupported construct or simulator crash trigger,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_pilot_5_compile_focused,attempt 2 CalledProcessError returned non-zero exit status 139,agentic_rewrite: deep FSM timing问题,deep_fsm_timing
cvdp_copilot_8x3_priority_encoder_0013,compile_elab,compile_elab,compile_repair,stage2_compile_focused_remaining,failed,0,compile-focused repair did not produce passing/elaborating RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,keep in compile/elab residual queue for direct log-specific inspection,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,still compile_elab; best 0/6; no thinking used,compile_repair_or_agentic,
cvdp_copilot_MSHR_0008,compile_elab,passed,compile_repair,stage2_compile_focused_remaining,rescued,+1,baseline MSHR compile/elab failure; compile-focused repair produced simulatable and functionally passing RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,remove from residual set,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,repair attempt 2 rescued; best 10/10; no thinking used,already_rescued,
cvdp_copilot_ahb_clk_counter_0001,compile_elab,functional,compile_repair,stage2_compile_focused_remaining,reclassified,0,compile-focused repair made partial progress; one test passes and one functional check remains,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,move to semantic/near-miss review,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,best 1/2; reclassified from compile_elab to functional residual,compile_repair_or_agentic,compile_persistent
cvdp_copilot_barrel_shifter_0058,compile_elab,compile_elab,compile_repair,stage2_compile_focused_remaining,failed,0,compile-focused repair did not produce passing/elaborating RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,keep in compile/elab residual queue for direct log-specific inspection,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,still compile_elab; best 0/1; no thinking used,compile_repair_or_agentic,
cvdp_copilot_bus_arbiter_0004,compile_elab,compile_elab,compile_repair,stage2_compile_focused_remaining,failed,0,compile-focused repair did not produce passing/elaborating RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,keep in compile/elab residual queue for direct log-specific inspection,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,still compile_elab; best 0/1; no thinking used,compile_repair_or_agentic,
cvdp_copilot_car_parking_management_0015,compile_elab,compile_elab,compile_repair,stage2_compile_focused_remaining,failed,0,compile-focused repair did not produce passing/elaborating RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,keep in compile/elab residual queue for direct log-specific inspection,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,still compile_elab; best 0/4; no thinking used,compile_repair_or_agentic,
cvdp_copilot_elevator_control_0006,compile_elab,compile_elab,compile_repair,stage2_compile_focused_remaining,failed,0,compile-focused repair did not produce passing/elaborating RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,keep in compile/elab residual queue for direct log-specific inspection,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,still compile_elab; best 0/4; no thinking used,compile_repair_or_agentic,
cvdp_copilot_elevator_control_0009,compile_elab,compile_elab,compile_repair,stage2_compile_focused_remaining,failed,0,compile-focused repair did not produce passing/elaborating RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,keep in compile/elab residual queue for direct log-specific inspection,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,still compile_elab; best 0/4; no thinking used,compile_repair_or_agentic,compile_persistent
cvdp_copilot_elevator_control_0026,compile_elab,compile_elab,compile_repair,stage2_compile_focused_remaining,failed,0,compile-focused repair did not produce passing/elaborating RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,keep in compile/elab residual queue for direct log-specific inspection,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,still compile_elab; best 0/4; no thinking used,compile_repair_or_agentic,compile_persistent
cvdp_copilot_findfasterclock_0001,compile_elab,passed,compile_repair,stage2_compile_focused_remaining,rescued,+1,baseline direct compile/elab failure; compile-focused repair fixed build/simulation,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,remove from residual set,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,repair attempt 1 rescued; best 1/1; no thinking used,already_rescued,
cvdp_copilot_gaussian_rounding_div_0005,compile_elab,compile_elab,compile_repair,stage2_compile_focused_remaining,failed,0,compile-focused repair did not produce passing/elaborating RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,keep in compile/elab residual queue for direct log-specific inspection,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,still compile_elab; best 0/2; no thinking used,compile_repair_or_agentic,compile_persistent
cvdp_copilot_hebbian_rule_0017,compile_elab,compile_elab,compile_repair,stage2_compile_focused_remaining,failed,0,compile-focused repair did not produce passing/elaborating RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,keep in compile/elab residual queue for direct log-specific inspection,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,still compile_elab; best 0/1; no thinking used,compile_repair_or_agentic,thinking_success
cvdp_copilot_interrupt_controller_0014,compile_elab,compile_elab,compile_repair,stage2_compile_focused_remaining,failed,0,compile-focused repair did not produce passing/elaborating RTL,enabled CVDP_REPAIR_COMPILE_FOCUSED=true with max 2 non-thinking repair attempts,keep in compile/elab residual queue for direct log-specific inspection,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,still compile_elab; best 0/5; no thinking used,compile_repair_or_agentic,compile_persistent
