case_id,run,final_class,best_summary,attempts,primary_log,sim_log,signal_kind,root_cluster,first_signal,next_action,manual_note
cvdp_copilot_8x3_priority_encoder_0013,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,compile_elab,"{""fail"": 6, ""pass"": 0, ""summaries_found"": 1, ""total"": 6}",2,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun/cvdp_copilot_8x3_priority_encoder/reports/13.txt,,called_process,wrapped_compile_error_needs_simlog,"subprocess.CalledProcessError: Command '['iverilog', '-o', '/code/rundir/sim_build/sim.vvp', '-s', 'cascaded_encoder', '-g2012', '-Pcascaded_encoder.N=4', '-Pcascaded_encoder.M=2', '-f', '/code/rundir/sim_build/cmds.f', '/code/rtl/cascaded_encoder.v']' returned non-zero exit status 2",open harness sim.log or rerun single case with verbose compile capture,
cvdp_copilot_axi_register_0001,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_pilot_5_compile_focused,compile_elab,"{""fail"": 6, ""pass"": 0, ""summaries_found"": 6, ""total"": 6}",2,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_pilot_5_compile_focused/cvdp_copilot_axi_register/reports/1.txt,,param_error,parameter_generate_width,"../../src/test_runner.py::test_axi_reg[8-12-0] [DEBUG] Parameters: {'ADDR_WIDTH': 12, 'DATA_WIDTH': 8}",parameter/generate/indexing focused repair,
cvdp_copilot_barrel_shifter_0058,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,compile_elab,"{""fail"": 1, ""pass"": 0, ""summaries_found"": 1, ""total"": 1}",2,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun/cvdp_copilot_barrel_shifter/reports/58.txt,,param_error,unsupported_sv_construct,# Modify the runner to include parameter passing logic for Icarus or your chosen simulator,parameter/generate/indexing focused repair,uses SystemVerilog inside expression unsupported by Icarus path
cvdp_copilot_bus_arbiter_0004,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,compile_elab,"{""fail"": 1, ""pass"": 0, ""summaries_found"": 1, ""total"": 1}",2,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun/cvdp_copilot_bus_arbiter/reports/4.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun/cvdp_copilot_bus_arbiter/harness/4/rundir/sim.log,elab_error,harness_top_file_mismatch,1 error(s) during elaboration.,targeted module/file-name retry or check expected typo vs harness top,RTL module is bus_arbiter but harness invokes top cvdp_copilot_bus_arbiter from file cvdp_copilot_bus_arbiter.sv
cvdp_copilot_car_parking_management_0015,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,compile_elab,"{""fail"": 4, ""pass"": 0, ""summaries_found"": 1, ""total"": 4}",2,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun/cvdp_copilot_car_parking_management/reports/15.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun/cvdp_copilot_car_parking_management/harness/15/rundir/sim.log,syntax_error,line_prefix_prose,/code/rtl/car_parking_system.sv:1: syntax error,"Icarus-compatible syntax rewrite, no semantic changes",line 1 contains naked prose before module declaration
cvdp_copilot_elevator_control_0006,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,compile_elab,"{""fail"": 4, ""pass"": 0, ""summaries_found"": 1, ""total"": 4}",2,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun/cvdp_copilot_elevator_control/reports/6.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun/cvdp_copilot_elevator_control/harness/26/rundir/sim.log,syntax_error,syntax_sv_compat,/code/rtl/elevator_control_system.sv:1: syntax error,"Icarus-compatible syntax rewrite, no semantic changes",syntax at line 1 in generated elevator RTL; needs exact per-case RTL inspection before rerun
cvdp_copilot_elevator_control_0009,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,compile_elab,"{""fail"": 4, ""pass"": 0, ""summaries_found"": 1, ""total"": 4}",2,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun/cvdp_copilot_elevator_control/reports/9.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun/cvdp_copilot_elevator_control/harness/26/rundir/sim.log,syntax_error,syntax_sv_compat,/code/rtl/elevator_control_system.sv:1: syntax error,"Icarus-compatible syntax rewrite, no semantic changes",syntax at line 1 in generated elevator RTL; needs exact per-case RTL inspection before rerun
cvdp_copilot_elevator_control_0026,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,compile_elab,"{""fail"": 4, ""pass"": 0, ""summaries_found"": 1, ""total"": 4}",2,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun/cvdp_copilot_elevator_control/reports/26.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun/cvdp_copilot_elevator_control/harness/26/rundir/sim.log,syntax_error,syntax_sv_compat,/code/rtl/elevator_control_system.sv:1: syntax error,"Icarus-compatible syntax rewrite, no semantic changes",syntax at line 1 in generated elevator RTL; needs exact per-case RTL inspection before rerun
cvdp_copilot_fifo_to_axis_0001,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_pilot_5_compile_focused,compile_elab,"{""fail"": 1, ""pass"": 0, ""summaries_found"": 1, ""total"": 1}",2,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_pilot_5_compile_focused/cvdp_copilot_fifo_to_axis/reports/1.txt,,param_error,simulator_crash_or_bad_construct,"parameters={""DATA_WIDTH"": width}, # Pass DATA_WIDTH parameter",parameter/generate/indexing focused repair,vvp/iverilog exit status 139; inspect unsupported recursive/bad construct
cvdp_copilot_gaussian_rounding_div_0005,research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun,compile_elab,"{""fail"": 2, ""pass"": 0, ""summaries_found"": 1, ""total"": 2}",2,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun/cvdp_copilot_gaussian_rounding_div/reports/5.txt,/mnt/disk9/tianfeng/cvdp/cvdp_benchmark/research_outputs/two_stage_thinking_codegen/runs/stage2_compile_elab_remaining_19_compile_focused_rerun/cvdp_copilot_gaussian_rounding_div/harness/5/rundir/sim.log,multiple_driver,multiple_driver,/code/rtl/divider.sv:99: error: Variable 'D4' cannot have multiple drivers.,open harness sim.log or rerun single case with verbose compile capture,"wire/register reuse causes multiple drivers, e.g. D4/D12/D14/D18/D20"
